Clade	Species	FAD	LAD	Reproduction mode	Egg shell mineralisation	EER	Reference
Mammalia	Ornithorhynchus anatinus	0.01	0	oviparous	membrane-shelled	absent	Hughes (1993)
Mammalia	Kryptobaatar dashzevegi*	85	80	viviparous	-	present	Kielan-Jaworowska (1979)
Mammalia	Macropus rufus	0.01	0	viviparous	-	present	Laurin (2005)
Mammalia	Elephas asiaticus	0.01	0	viviparous	-	present	Laurin (2005)
Mammalia	Oreodon culbertsoni*	37.2	33.9	viviparous	-	present	O'Harra (1930)
Mammalia	Maiacetus inuus*	47.8	41.2	viviparous	-	present	Gingerich et al. (2009); Thewissen & McLellan (2009)
Mammalia	Homo sapiens	0.01	0	viviparous	-	present	Laurin (2005)
Mesosauridae	Mesosaurus tenuidens*	290.1	279.3	?	?	present	Blackburn & Sidor (2015)
Sauropterygia	Neusticosaurus peyeri*	242	237	viviparous	-	present	Blackburn & Sidor (2015); Sander (1989)
Sauropterygia	Lariosaurus sp.*	242	237	viviparous	-	present	Blackburn & Sidor (2015); Renesto et al. (2003)
Sauropterygia	Keichosaurus hui*	242	237	viviparous	-	present	Blackburn & Sidor (2015); Cheng et al. (2004)
Sauropterygia	Dolichorhynchops osborni*	89.3	84.9	viviparous	-	present	Blackburn & Sidor (2015); Rothschild & Martin (1993)
Sauropterygia	Polycotylus latipinnus*	83.6	80	viviparous	-	present	Blackburn & Sidor (2015); O’Keefe and Chiappe (2011)
Ichthyopterygia	Chaohusaurus geishanensis*	251.2	247.2	viviparous	-	present	Blackburn & Sidor (2015); Motani et al. (2014)
Ichthyopterygia	Mixosaurus sp.*	247.2	242	viviparous	-	present	Blackburn & Sidor (2015); Brinkman (1996)
Ichthyopterygia	Besanosaurus leptorhynchus*	247.2	242	viviparous	-	present	Blackburn & Sidor (2015); Dal Sasso & Pinna (1996)
Ichthyopterygia	Shonisaurus popularis*	232	227	viviparous	-	present	Blackburn & Sidor (2015); Camp (1980); Lomax & Massare (2012)
Ichthyopterygia	Qianichthyosaurus zhoui*	237	227	viviparous	-	present	Blackburn & Sidor (2015); Wang et al. (2008)
Ichthyopterygia	Temnodontosaurus Sp.*	182.7	180	viviparous	-	present	Blackburn & Sidor (2015); Böttcher (1990); Motani (2005)
Ichthyopterygia	Leptonectes tenuirostris*	201.3	199.3	viviparous	-	present	Blackburn & Sidor (2015); Lomax & Massare (2012)
Ichthyopterygia	Ichthyosaurus communis*	201.3	199.3	viviparous	-	present	Blackburn & Sidor (2015); Deeming et al. (1993)
Ichthyopterygia	Stenopterygius quadriscissus*	182.7	180	viviparous	-	present	Blackburn & Sidor (2015); McGowan (1979); Maxwell (2012)
Ichthyopterygia	Stenopterygius triscissus*	182.7	180	viviparous	-	present	Blackburn & Sidor (2015); Maxwell (2012)
Ichthyopterygia	Maiaspondylus lindoei*	113	105.3	viviparous	-	present	Blackburn & Sidor (2015); Maxwell & Caldwell (2003, 2006)
Ichthyopterygia	Platypterygius australis*	105.3	99.6	viviparous	-	present	Blackburn & Sidor (2015); Kear et al. (2003); Kear & Zammit (2014)
Ichthyopterygia	Platypterygius longmani*	105.3	99.6	viviparous	-	present	Blackburn & Sidor (2015); Kear et al. (2003)
Rhynchocephalia	Sphenodon punctatus	0.01	0	oviparous	parchment	absent	Packard et al. (1982); Moffat (1985)
Squamata	Yabeinosaurus tenuis*	122.3	110.6	viviparous	-	present	Blackburn & Sidor (2015); Wang & Evans (2011)
Squamata	Diplodactylus vittatus 	0.01	0	oviparous	parchment	present	Shine (1983); Deeming (1988); Kluge (1967)
Squamata	Anepischetosia maccoyi	0.01	0	oviparous	parchment	present	Lucas & Frost (1893)
Squamata	Podarcis siculus	0.01	0	oviparous	parchment	present	Shine (1983);  Schleich & Kästle (1988)
Squamata	Elaphe guttata	0.01	0	oviparous	parchment	present	Shine (1983);  Schleich & Kästle (1988)
Squamata	Carsosaurus marchesetti*	99.7	94.3	viviparous	-	present	Blackburn & Sidor (2015); Caldwell & Lee (2001)
Squamata	Plioplatecarpus primaevus*	76	72.1	viviparous	-	present	Blackburn & Sidor (2015); Bell et al. (1996)
Squamata	Phu Phok Embryo*	129.4	125	oviparous	rigid	?	Fernandez et al. (2015)
Squamata	Diploglossus delasagra	0.01	0	oviparous	parchment	present	Shine (1983); Barbour & Ramsden (1919)
Squamata	Furcifer lateralis	0.01	0	oviparous	parchment	absent	Shine (1983); Gray (1845)
Squamata	Sceloporus clarkii	0.01	0	oviparous	parchment	present	Shine (1983); Packard & Demarco (1991)
Squamata	Sceloporus scalaris	0.01	0	oviparous	parchment	present	Shine (1983); Packard & Demarco (1991)
Testudines	Pelusios sinuatus	0.01	0	oviparous	parchment	absent	Kusuda et al. (2013); Laurin (2005)
Testudines	Acanthochelys radiolata	0.01	0	oviparous	rigid	absent	Kusuda et al. (2013); Laurin (2005)
Testudines	Pelodiscus sinesis	0.01	0	oviparous	rigid	absent	Kusuda et al. (2013); Laurin (2005)
Testudines	Adocus sp.*	76	72.1	oviparous	rigid	?	Zelenitsky et al. (2008)
Testudines	Chelonoidis carbonaria	0.01	0	oviparous	rigid	absent	Kusuda et al. (2013); Laurin (2005)
Testudines	Kinosternon baurii	0.01	0	oviparous	rigid	absent	Kusuda et al. (2013); Laurin (2005)
