"X.Class.....anage.Class","X.Genus.....anage.Genus","X.Species.....anage.Species","X.Common.name.....anage.Common.name","X.Regen_present.....rep.0..length.anage.Species..","X.Limb_regen.....rep.0..length.anage.Species..","X.Oocyte_regen.....rep.0..length.anage.Species..","X.Tooth_replace.....rep.0..length.anage.Species..","X.Indeterminate_growth.....rep.0..length.anage.Species..","X.Negligible_senescence.....rep.0..length.anage.Species.."
"Polychaeta","Escarpia","laminata","Escarpia laminata",0,0,0,0,0,0
"Polychaeta","Lamellibrachia","luymesi","Lamellibrachia luymesi",0,0,0,0,0,0
"Polychaeta","Seepiophila","jonesi","Seepiophila jonesi",0,0,0,0,0,0
"Arachnida","Latrodectus","hasselti","Australian redback spider",0,0,0,0,0,0
"Branchiopoda","Daphnia","pulicaria","Daphnia",0,0,0,0,0,0
"Insecta","Drosophila","melanogaster","Fruit fly",0,0,0,0,0,0
"Insecta","Telostylinus","angusticollis","Telostylinus angusticollis",0,0,0,0,0,0
"Insecta","Ceratitis","capitata","Mediterranean fruit fly",0,0,0,0,0,0
"Insecta","Maconellicoccus","hirsutus","Mealybug",0,0,0,0,0,0
"Insecta","Apis","mellifera","Honey bee",0,0,0,0,0,0
"Insecta","Bombus","terrestris","Buff tailed bumblebee",0,0,0,0,0,0
"Insecta","Cardiocondyla","obscurior","Cardiocondyla obscurior",0,0,0,0,0,0
"Insecta","Lasius","niger","Black garden ant",0,0,0,0,0,0
"Insecta","Pheidole","dentata","Pheidole dentata",0,0,0,0,0,0
"Insecta","Bicyclus","anynana","Squinting bush brown",0,0,0,0,0,0
"Insecta","Teleogryllus","commodus","Black field cricket",0,0,0,0,0,0
"Insecta","Romalea","microptera","Eastern lubber grasshopper",0,0,0,0,0,0
"Insecta","Carausius","morosus","Indian stick insect",0,0,0,0,0,0
"Malacostraca","Homarus","americanus","American lobster",0,0,0,0,0,0
"Actinopterygii","Astyanax","mexicanus","Mexican tetra",0,0,0,0,0,0
"Actinopterygii","Heterandria","formosa","Least killifish",0,0,0,0,0,0
"Actinopterygii","Dissostichus","eleginoides","Patagonian toothfish",0,0,0,0,0,0
"Actinopterygii","Meuschenia","scaber","Smooth leatherjacket",0,0,0,0,0,0
"Amphibia","Ascaphus","truei","Coastal tailed frog",0,0,0,0,0,0
"Amphibia","Bombina","bombina","Firebelly toad",0,0,0,0,0,0
"Amphibia","Bombina","orientalis","Oriental firebelly toad",0,0,0,0,0,0
"Amphibia","Bombina","variegata","Yellow-bellied toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","americanus","American toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","boreas","Western toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","californicus","Arroyo toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","canorus","Yosemite toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","cognatus","Great plains toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","debilis","Green toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","hemiophrys","Canadian toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","punctatus","Red-spotted toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","retiformis","Sonoran green toad",0,0,0,0,0,0
"Amphibia","Anaxyrus","terrestris","Southern toad",0,0,0,0,0,0
"Amphibia","Atelopus","varius","Veragoa stubfoot toad",0,0,0,0,0,0
"Amphibia","Bufo","bufo","Common European toad",0,0,0,0,0,0
"Amphibia","Incilius","alvarius","Sonoran desert toad, or Colorado river toad",0,0,0,0,0,0
"Amphibia","Nectophrynoides","asperginis","Kihansi spray toad",0,0,0,0,0,0
"Amphibia","Peltophryne","lemur","Ridge-headed toad",0,0,0,0,0,0
"Amphibia","Peltophryne","peltocephala","Cuban toad",0,0,0,0,0,0
"Amphibia","Pseudepidalea","viridis","European green toad",0,0,0,0,0,0
"Amphibia","Rhaebo","blombergi","Colombian giant toad",0,0,0,0,0,0
"Amphibia","Rhinella","arenarum","Argentine toad",0,0,0,0,0,0
"Amphibia","Rhinella","marina","Cane toad",0,0,0,0,0,0
"Amphibia","Rhinella","schneideri","Eurura toad",0,0,0,0,0,0
"Amphibia","Ceratophrys","aurita","Common horned frog",0,0,0,0,0,0
"Amphibia","Ceratophrys","calcarata","Colombian horned frog",0,0,0,0,0,0
"Amphibia","Ceratophrys","cornuta","Amazonian horned frog",0,0,0,0,0,0
"Amphibia","Ceratophrys","ornata","Ornate horned frog",0,0,0,0,0,0
"Amphibia","Conraua","goliath","Goliath frog",0,0,0,0,0,0
"Amphibia","Dendrobates","auratus","Green and black dart-poison frog",0,0,0,0,0,0
"Amphibia","Dendrobates","leucomelas","Yellow-banded poison frog",0,0,0,0,0,0
"Amphibia","Dendrobates","tinctorius","Blue poison-dart frog",0,0,0,0,0,0
"Amphibia","Oophaga","histrionica","Kokoe-pa poison dart frog",0,0,0,0,0,0
"Amphibia","Oophaga","pumilio","Strawberry poison frog",0,0,0,0,0,0
"Amphibia","Phyllobates","vittatus","Golfo dulce poison-dart frog",0,0,0,0,0,0
"Amphibia","Hoplobatrachus","occipitalis","African tigrine frog",0,0,0,0,0,0
"Amphibia","Acris","blanchardi","Blanchard's cricket frog",0,0,0,0,0,0
"Amphibia","Acris","crepitans","Northern cricket frog",0,0,0,0,0,0
"Amphibia","Diaglena","spatulata","Treefrog",0,0,0,0,0,0
"Amphibia","Hyla","arborea","European tree frog",0,0,0,0,0,0
"Amphibia","Hyla","chrysoscelis","Cope's gray treefrog",0,0,0,0,0,0
"Amphibia","Hyla","cinerea","Green treefrog",0,0,0,0,0,0
"Amphibia","Hyla","gratiosa","Barking treefrog",0,0,0,0,0,0
"Amphibia","Hyla","japonica","Japanese treefrog",0,0,0,0,0,0
"Amphibia","Hyla","squirella","Squirrel treefrog",0,0,0,0,0,0
"Amphibia","Hyla","versicolor","Gray treefrog",0,0,0,0,0,0
"Amphibia","Hypsiboas","rosenbergi","Rosenberg's treefrog",0,0,0,0,0,0
"Amphibia","Litoria","caerulea","Australian green treefrog",0,0,0,0,0,0
"Amphibia","Osteopilus","septentrionalis","Cuban treefrog",0,0,0,0,0,0
