GeneID,Species,Gene,Tissue,Description,Chromosome,Start_position,End_position,Exon_count,Reference
655,"Homo sapiens",BMP7,Cartilage,"bone morphogenetic protein 7",20,57168753,57266641,7,10.1186/1471-2474-11-170
960,"Homo sapiens",CD44,Cartilage,"CD44 molecule (Indian blood group)",11,35139168,35232402,21,10.1152/japplphysiol.01132.2012
1280,"Homo sapiens",COL2A1,Cartilage,"collagen type II alpha 1 chain",12,47972967,48006212,57,10.1093/ejo/cjp163
1300,"Homo sapiens",COL10A1,Cartilage,"collagen type X alpha 1 chain",6,116118909,116219937,6,10.1093/ejo/cjp163
1432,"Homo sapiens",MAPK14,Cartilage,"mitogen-activated protein kinase 14",6,36027711,36122964,22,10.1111/jcmm.12034
4314,"Homo sapiens",MMP3,Cartilage,"matrix metallopeptidase 3",11,102835801,102843609,10,10.1128/MCB.01288-07
6271,"Homo sapiens",S100A1,Cartilage,"S100 calcium binding protein A1",1,153628434,153632039,3,10.1002/jcp.24547
6285,"Homo sapiens",S100B,Cartilage,"S100 calcium binding protein B",21,46598604,46605243,3,10.1002/jcp.24547
20682,"Mus musculus",Sox9,Cartilage,"SRY-box transcription factor 9",11,112673050,112678586,3,10.1093/ejo/cjp163
21803,"Mus musculus",Tgfb1,Cartilage,"transforming growth factor beta 1",7,25386427,25404502,17,10.1089/ten.2005.11.1516
