GeneID,Species,Gene,Tissue,Description,Chromosome,Start_position,End_position,Exon_count,Reference
116,"Homo sapiens",ADCYAP1,Nerve,"adenylate cyclase activating polypeptide 1",18,904384,912172,6,10.1152/jn.00288.2003
133,"Homo sapiens",ADM,Endothelia,adrenomedullin,11,10305073,10307397,4,10.1016/s0014-5793(03)00484-8
133,"Homo sapiens",ADM,Epithelia,adrenomedullin,11,10305073,10307397,4,10.1210/en.2010-1256
177,"Homo sapiens",AGER,Muscle,"advanced glycosylation end-product specific receptor",6,32180969,32184380,11,10.1371/journal.pone.0028700
177,"Homo sapiens",AGER,Nerve,"advanced glycosylation end-product specific receptor",6,32180969,32184380,11,10.1002/jcp.21474
182,"Homo sapiens",JAG1,"Spinal cord","jagged canonical Notch ligand 1",20,10637684,10673999,26,10.1089/neu.2011.2139
183,"Homo sapiens",AGT,Endothelia,angiotensinogen,1,230702523,230745583,6,10.1152/ajpcell.00306.2010
207,"Homo sapiens",AKT1,Epithelia,"AKT serine/threonine kinase 1",14,104769349,104795748,15,10.1210/en.2008-1333
207,"Homo sapiens",AKT1,Intestine,"AKT serine/threonine kinase 1",14,104769349,104795748,15,10.1016/j.devcel.2010.07.015
207,"Homo sapiens",AKT1,Nerve,"AKT serine/threonine kinase 1",14,104769349,104795748,15,10.1016/j.bbrc.2013.12.037
207,"Homo sapiens",AKT1,Pancreas,"AKT serine/threonine kinase 1",14,104769349,104795748,15,10.1053/j.gastro.2005.03.016
231,"Homo sapiens",AKR1B1,Nerve,"aldo-keto reductase family 1 member B",7,134442350,134459239,11,10.1097/NEN.0b013e3181d26487
284,"Homo sapiens",ANGPT1,Liver,"angiopoietin 1",8,107249482,107497918,10,10.1006/bbrc.2001.5548
285,"Homo sapiens",ANGPT2,Liver,"angiopoietin 2",8,6499632,6563245,9,10.1126/science.1244880
317,"Homo sapiens",APAF1,Misc,"apoptotic peptidase activating factor 1",12,98645141,98735433,28,10.1371/journal.pone.0006634
332,"Homo sapiens",BIRC5,Liver,"baculoviral IAP repeat containing 5",17,78214253,78225635,6,10.1016/s0006-291x(02)02128-9
335,"Homo sapiens",APOA1,Bone,"apolipoprotein A1",11,116835751,116837950,4,10.1182/blood-2008-06-161794
335,"Homo sapiens",APOA1,Endothelia,"apolipoprotein A1",11,116835751,116837950,4,10.1161/ATVBAHA.107.158741
348,"Homo sapiens",APOE,Nerve,"apolipoprotein E",19,44905796,44909393,6,10.1093/hmg/ddr147
355,"Homo sapiens",FAS,Liver,"Fas cell surface death receptor",10,88968429,89017059,15,10.1002/hep.20812
362,"Homo sapiens",AQP5,Epithelia,"aquaporin 5",12,49961855,49965682,5,10.1016/j.yexcr.2007.02.035
367,"Homo sapiens",AR,Prostate,"androgen receptor",X,67544021,67730619,11,10.1128/MCB.25.12.4841-4852.2005
374,"Homo sapiens",AREG,Liver,amphiregulin,4,74445136,74455005,6,10.1016/j.jhep.2009.06.030
387,"Homo sapiens",RHOA,Muscle,"ras homolog family member A",3,49359145,49411976,7,10.1096/fj.13-233460
429,"Homo sapiens",ASCL1,Retina,"achaete-scute family bHLH transcription factor 1",12,102957674,102960513,2,10.1038/ncb2115
467,"Homo sapiens",ATF3,Nerve,"activating transcription factor 3",1,212565407,212620777,7,10.1016/j.molbrainres.2003.09.014
581,"Homo sapiens",BAX,Nerve,"BCL2 associated X, apoptosis regulator",19,48954825,48961798,7,10.1016/s1044-7431(03)00219-7
595,"Homo sapiens",CCND1,Kidney,"cyclin D1",11,69641156,69654474,5,10.1111/nep.12114
595,"Homo sapiens",CCND1,Liver,"cyclin D1",11,69641156,69654474,5,10.1152/ajpgi.00471.2009
596,"Homo sapiens",BCL2,Nerve,"BCL2 apoptosis regulator",18,63123346,63320280,6,10.1016/j.brainres.2004.05.107
627,"Homo sapiens",BDNF,Bone,"brain derived neurotrophic factor",11,27654893,27722030,12,10.1016/j.brainres.2009.01.056
627,"Homo sapiens",BDNF,Misc,"brain derived neurotrophic factor",11,27654893,27722030,12,10.1679/aohc.66.183
627,"Homo sapiens",BDNF,Muscle,"brain derived neurotrophic factor",11,27654893,27722030,12,10.1091/mbc.e10-02-0154
627,"Homo sapiens",BDNF,Nerve,"brain derived neurotrophic factor",11,27654893,27722030,12,10.1016/s0014-4886(03)00183-3
637,"Homo sapiens",BID,Liver,"BH3 interacting domain death agonist",22,17734138,17774665,8,10.1002/hep.23672
637,"Homo sapiens",BID,Lymph,"BH3 interacting domain death agonist",22,17734138,17774665,8,10.1016/j.exphem.2011.06.004
650,"Homo sapiens",BMP2,Bone,"bone morphogenetic protein 2",20,6767686,6780246,3,10.1038/nature06457
650,"Homo sapiens",BMP2,Intestine,"bone morphogenetic protein 2",20,6767686,6780246,3,10.1016/j.celrep.2013.05.040
652,"Homo sapiens",BMP4,Bone,"bone morphogenetic protein 4",14,53949736,53956891,6,10.1038/nature06457
652,"Homo sapiens",BMP4,Liver,"bone morphogenetic protein 4",14,53949736,53956891,6,10.1152/ajpgi.00105.2012
652,"Homo sapiens",BMP4,Lung,"bone morphogenetic protein 4",14,53949736,53956891,6,10.1016/j.cellsig.2010.10.010
652,"Homo sapiens",BMP4,Misc,"bone morphogenetic protein 4",14,53949736,53956891,6,10.1242/dev.00710
655,"Homo sapiens",BMP7,Cartilage,"bone morphogenetic protein 7",20,57168753,57266641,7,10.1186/1471-2474-11-170
655,"Homo sapiens",BMP7,Kidney,"bone morphogenetic protein 7",20,57168753,57266641,7,10.1080/01926230490440925
706,"Homo sapiens",TSPO,Nerve,"translocator protein",22,43151559,43163242,5,10.1016/j.mcn.2005.07.010
718,"Homo sapiens",C3,Liver,"complement C3",19,6677704,6720650,41,10.1084/jem.20030374
718,"Homo sapiens",C3,Retina,"complement C3",19,6677704,6720650,41,10.1038/ncomms3312
794,"Homo sapiens",CALB2,Retina,"calbindin 2",16,71358723,71390438,10,10.14670/HH-19.1193
796,"Homo sapiens",CALCA,Bone,"calcitonin related polypeptide alpha",11,14966668,14972361,7,10.1097/BRS.0b013e3181b04e52
799,"Homo sapiens",CALCR,Muscle,"calcitonin receptor",7,93424486,93574724,17,10.1007/s10735-012-9421-3
827,"Homo sapiens",CAPN6,Muscle,"calpain 6",X,111245099,111270483,13,10.1371/journal.pgen.1003668
841,"Homo sapiens",CASP8,Liver,"caspase 8",2,201233443,201287711,15,10.1002/hep.26538
860,"Homo sapiens",RUNX2,Bone,"RUNX family transcription factor 2",6,45328330,45551082,10,10.1007/s12015-011-9337-4
860,"Homo sapiens",RUNX2,Epithelia,"RUNX family transcription factor 2",6,45328330,45551082,10,10.1007/s12015-011-9337-4
861,"Homo sapiens",RUNX1,Epithelia,"RUNX family transcription factor 1",21,34787801,35049334,13,10.1167/iovs.13-11791
